"","id","average_depth","anomaly_score","status"
"1",1,7.95,0.58,"Normal"
"2",2,7.98,0.58,"Normal"
"3",3,7.59,0.6,"Normal"
"4",4,7.76,0.59,"Normal"
"5",5,8,0.58,"Normal"
"6",6,7.94,0.58,"Normal"
"7",7,6.84,0.63,"Anomalia"
"8",8,7.91,0.59,"Normal"
"9",9,7.83,0.59,"Normal"
"10",10,7.14,0.62,"Normal"
"11",11,7.74,0.59,"Normal"
"12",12,7.74,0.59,"Normal"
"13",13,7.62,0.6,"Normal"
"14",14,7.85,0.59,"Normal"
"15",15,7.96,0.58,"Normal"
"16",16,7.83,0.59,"Normal"
"17",17,7.84,0.59,"Normal"
"18",18,7.86,0.59,"Normal"
"19",19,7.8,0.59,"Normal"
"20",20,7.72,0.59,"Normal"
"21",21,7.89,0.59,"Normal"
"22",22,7.93,0.58,"Normal"
"23",23,7.62,0.6,"Normal"
"24",24,7.92,0.59,"Normal"
"25",25,7.98,0.58,"Normal"
"26",26,7.94,0.58,"Normal"
"27",27,7.7,0.59,"Normal"
"28",28,7.71,0.59,"Normal"
"29",29,7.91,0.59,"Normal"
"30",30,7.82,0.59,"Normal"
"31",31,7.5,0.6,"Normal"
"32",32,7.45,0.6,"Normal"
"33",33,7.78,0.59,"Normal"
"34",34,7.94,0.58,"Normal"
"35",35,7.92,0.59,"Normal"
"36",36,7.72,0.59,"Normal"
"37",37,7.84,0.59,"Normal"
"38",38,7.73,0.59,"Normal"
"39",39,7.79,0.59,"Normal"
"40",40,7.79,0.59,"Normal"
"41",41,7.84,0.59,"Normal"
"42",42,7.85,0.59,"Normal"
"43",43,7.95,0.58,"Normal"
"44",44,7.72,0.59,"Normal"
"45",45,7.11,0.62,"Normal"
"46",46,7.4,0.61,"Normal"
"47",47,7.93,0.58,"Normal"
"48",48,6.66,0.64,"Anomalia"
"49",49,7.95,0.58,"Normal"
"50",50,7.81,0.59,"Normal"
"51",51,7.81,0.59,"Normal"
"52",52,7.98,0.58,"Normal"
"53",53,7.73,0.59,"Normal"
"54",54,7.94,0.58,"Normal"
"55",55,7.95,0.58,"Normal"
"56",56,7.94,0.58,"Normal"
"57",57,6.7,0.64,"Anomalia"
"58",58,7.98,0.58,"Normal"
"59",59,7.82,0.59,"Normal"
"60",60,7.69,0.59,"Normal"
"61",61,7.47,0.6,"Normal"
"62",62,7.93,0.58,"Normal"
"63",63,7.95,0.58,"Normal"
"64",64,7.79,0.59,"Normal"
"65",65,6.95,0.62,"Normal"
"66",66,7.95,0.58,"Normal"
"67",67,7.8,0.59,"Normal"
"68",68,7.98,0.58,"Normal"
"69",69,8,0.58,"Normal"
"70",70,7.98,0.58,"Normal"
"71",71,7.98,0.58,"Normal"
"72",72,8,0.58,"Normal"
"73",73,7.5,0.6,"Normal"
"74",74,8,0.58,"Normal"
"75",75,7.94,0.58,"Normal"
"76",76,7.76,0.59,"Normal"
"77",77,7.81,0.59,"Normal"
"78",78,7.81,0.59,"Normal"
"79",79,7.85,0.59,"Normal"
"80",80,7.91,0.59,"Normal"
"81",81,7.99,0.58,"Normal"
"82",82,7.81,0.59,"Normal"
"83",83,7.74,0.59,"Normal"
"84",84,7.97,0.58,"Normal"
"85",85,7.9,0.59,"Normal"
"86",86,7.69,0.59,"Normal"
"87",87,7.29,0.61,"Normal"
"88",88,7.45,0.6,"Normal"
"89",89,7.26,0.61,"Normal"
"90",90,7.76,0.59,"Normal"
"91",91,7.71,0.59,"Normal"
"92",92,7.26,0.61,"Normal"
"93",93,7.86,0.59,"Normal"
"94",94,7.93,0.58,"Normal"
"95",95,7.73,0.59,"Normal"
"96",96,7.91,0.59,"Normal"
"97",97,7.9,0.59,"Normal"
"98",98,7.84,0.59,"Normal"
"99",99,7.97,0.58,"Normal"
"100",100,7.97,0.58,"Normal"
"101",101,7.91,0.59,"Normal"
"102",102,7.95,0.58,"Normal"
"103",103,7.78,0.59,"Normal"
"104",104,7.72,0.59,"Normal"
"105",105,7.77,0.59,"Normal"
"106",106,7.28,0.61,"Normal"
"107",107,7.91,0.59,"Normal"
"108",108,7.96,0.58,"Normal"
"109",109,7.74,0.59,"Normal"
"110",110,7.86,0.59,"Normal"
"111",111,7.55,0.6,"Normal"
"112",112,7.94,0.58,"Normal"
"113",113,7.93,0.58,"Normal"
"114",114,7.65,0.6,"Normal"
"115",115,7.95,0.58,"Normal"
"116",116,7.86,0.59,"Normal"
"117",117,7.79,0.59,"Normal"
"118",118,7.67,0.6,"Normal"
"119",119,7.99,0.58,"Normal"
"120",120,7.94,0.58,"Normal"
"121",121,7.84,0.59,"Normal"
"122",122,7.98,0.58,"Normal"
"123",123,7.96,0.58,"Normal"
"124",124,7.91,0.59,"Normal"
"125",125,7.95,0.58,"Normal"
"126",126,7.89,0.59,"Normal"
"127",127,7.9,0.59,"Normal"
"128",128,7.81,0.59,"Normal"
"129",129,7.86,0.59,"Normal"
"130",130,7.73,0.59,"Normal"
"131",131,7.98,0.58,"Normal"
"132",132,7.94,0.58,"Normal"
"133",133,7.96,0.58,"Normal"
"134",134,7.98,0.58,"Normal"
"135",135,7.96,0.58,"Normal"
"136",136,7.93,0.58,"Normal"
"137",137,7.99,0.58,"Normal"
"138",138,7.6,0.6,"Normal"
"139",139,7.94,0.58,"Normal"
"140",140,7.37,0.61,"Normal"
"141",141,7.27,0.61,"Normal"
"142",142,7.95,0.58,"Normal"
"143",143,7.95,0.58,"Normal"
"144",144,7.63,0.6,"Normal"
"145",145,7.73,0.59,"Normal"
"146",146,7.83,0.59,"Normal"
"147",147,7.99,0.58,"Normal"
"148",148,7.83,0.59,"Normal"
"149",149,7.89,0.59,"Normal"
"150",150,7.62,0.6,"Normal"
"151",151,7.99,0.58,"Normal"
"152",152,7.74,0.59,"Normal"
"153",153,7.02,0.62,"Normal"
"154",154,7.96,0.58,"Normal"
"155",155,7.97,0.58,"Normal"
"156",156,7.99,0.58,"Normal"
"157",157,7.97,0.58,"Normal"
"158",158,7.1,0.62,"Normal"
"159",159,7.83,0.59,"Normal"
"160",160,7.95,0.58,"Normal"
"161",161,7.93,0.58,"Normal"
"162",162,7.98,0.58,"Normal"
"163",163,7.97,0.58,"Normal"
"164",164,7.73,0.59,"Normal"
"165",165,7.92,0.59,"Normal"
"166",166,7.74,0.59,"Normal"
"167",167,7.93,0.58,"Normal"
"168",168,7.78,0.59,"Normal"
"169",169,7.93,0.58,"Normal"
"170",170,7.85,0.59,"Normal"
"171",171,7.64,0.6,"Normal"
"172",172,6.98,0.62,"Normal"
"173",173,7.79,0.59,"Normal"
"174",174,7.02,0.62,"Normal"
"175",175,7.9,0.59,"Normal"
"176",176,7.8,0.59,"Normal"
"177",177,7.92,0.59,"Normal"
"178",178,7.94,0.58,"Normal"
"179",179,7.92,0.59,"Normal"
"180",180,7.89,0.59,"Normal"
"181",181,7.97,0.58,"Normal"
"182",182,7.9,0.59,"Normal"
"183",183,7.8,0.59,"Normal"
"184",184,7.83,0.59,"Normal"
"185",185,7.64,0.6,"Normal"
"186",186,7.93,0.58,"Normal"
"187",187,7.75,0.59,"Normal"
"188",188,7.44,0.6,"Normal"
"189",189,7.82,0.59,"Normal"
"190",190,7.76,0.59,"Normal"
"191",191,7.92,0.59,"Normal"
"192",192,7.82,0.59,"Normal"
"193",193,7.97,0.58,"Normal"
"194",194,6.99,0.62,"Normal"
"195",195,7.89,0.59,"Normal"
"196",196,7.92,0.59,"Normal"
"197",197,7.79,0.59,"Normal"
"198",198,7.98,0.58,"Normal"
"199",199,7.93,0.58,"Normal"
"200",200,7.94,0.58,"Normal"
"201",201,7.95,0.58,"Normal"
"202",202,7.78,0.59,"Normal"
"203",203,7.8,0.59,"Normal"
"204",204,7.93,0.58,"Normal"
"205",205,7.92,0.59,"Normal"
"206",206,7.81,0.59,"Normal"
"207",207,7.95,0.58,"Normal"
"208",208,7.98,0.58,"Normal"
"209",209,7.7,0.59,"Normal"
"210",210,7.79,0.59,"Normal"
"211",211,7.83,0.59,"Normal"
"212",212,7.89,0.59,"Normal"
"213",213,7.31,0.61,"Normal"
"214",214,7.87,0.59,"Normal"
"215",215,7.83,0.59,"Normal"
"216",216,7.8,0.59,"Normal"
"217",217,7.82,0.59,"Normal"
"218",218,7.79,0.59,"Normal"
"219",219,7.71,0.59,"Normal"
"220",220,7.96,0.58,"Normal"
"221",221,7.99,0.58,"Normal"
"222",222,7.16,0.62,"Normal"
"223",223,7.98,0.58,"Normal"
"224",224,7.82,0.59,"Normal"
"225",225,7.62,0.6,"Normal"
"226",226,7.1,0.62,"Normal"
"227",227,7.78,0.59,"Normal"
"228",228,8,0.58,"Normal"
"229",229,8,0.58,"Normal"
"230",230,7.73,0.59,"Normal"
"231",231,7.92,0.59,"Normal"
"232",232,7.94,0.58,"Normal"
"233",233,7.93,0.58,"Normal"
"234",234,7.91,0.59,"Normal"
"235",235,7.87,0.59,"Normal"
"236",236,7.86,0.59,"Normal"
"237",237,7.97,0.58,"Normal"
"238",238,7.91,0.59,"Normal"
"239",239,7.81,0.59,"Normal"
"240",240,7.97,0.58,"Normal"
"241",241,7.91,0.59,"Normal"
"242",242,7.83,0.59,"Normal"
"243",243,7.94,0.58,"Normal"
"244",244,7.86,0.59,"Normal"
"245",245,7.82,0.59,"Normal"
"246",246,7.73,0.59,"Normal"
"247",247,7.97,0.58,"Normal"
"248",248,7.95,0.58,"Normal"
"249",249,7.99,0.58,"Normal"
"250",250,7.5,0.6,"Normal"
"251",251,7.78,0.59,"Normal"
"252",252,7.81,0.59,"Normal"
"253",253,6.91,0.63,"Anomalia"
"254",254,7.73,0.59,"Normal"
"255",255,7.94,0.58,"Normal"
"256",256,7.89,0.59,"Normal"
"257",257,7.06,0.62,"Normal"
"258",258,7.77,0.59,"Normal"
"259",259,7.91,0.59,"Normal"
"260",260,7.98,0.58,"Normal"
"261",261,7.97,0.58,"Normal"
"262",262,7.93,0.58,"Normal"
"263",263,7.31,0.61,"Normal"
"264",264,7.85,0.59,"Normal"
"265",265,7.98,0.58,"Normal"
"266",266,7.07,0.62,"Normal"
"267",267,7.86,0.59,"Normal"
"268",268,7.81,0.59,"Normal"
"269",269,7.66,0.6,"Normal"
"270",270,7.95,0.58,"Normal"
"271",271,7.93,0.58,"Normal"
"272",272,7.95,0.58,"Normal"
"273",273,7.86,0.59,"Normal"
"274",274,7.23,0.61,"Normal"
"275",275,7.94,0.58,"Normal"
"276",276,7.59,0.6,"Normal"
"277",277,7.9,0.59,"Normal"
"278",278,7.76,0.59,"Normal"
"279",279,7.9,0.59,"Normal"
"280",280,7.28,0.61,"Normal"
"281",281,7.8,0.59,"Normal"
"282",282,7.9,0.59,"Normal"
"283",283,7.53,0.6,"Normal"
"284",284,7.34,0.61,"Normal"
"285",285,7.97,0.58,"Normal"
"286",286,7.97,0.58,"Normal"
"287",287,7.92,0.59,"Normal"
"288",288,7.97,0.58,"Normal"
"289",289,7.95,0.58,"Normal"
"290",290,7.99,0.58,"Normal"
"291",291,6.84,0.63,"Anomalia"
"292",292,7.93,0.58,"Normal"
"293",293,7.58,0.6,"Normal"
"294",294,7.89,0.59,"Normal"
"295",295,7.63,0.6,"Normal"
"296",296,7.84,0.59,"Normal"
"297",297,7.97,0.58,"Normal"
"298",298,7.94,0.58,"Normal"
"299",299,7.12,0.62,"Normal"
"300",300,7.91,0.59,"Normal"
"301",301,7.1,0.62,"Normal"
"302",302,7.97,0.58,"Normal"
"303",303,7.94,0.58,"Normal"
"304",304,7.77,0.59,"Normal"
"305",305,7.74,0.59,"Normal"
"306",306,7.74,0.59,"Normal"
"307",307,7.95,0.58,"Normal"
"308",308,7.24,0.61,"Normal"
"309",309,7.96,0.58,"Normal"
"310",310,7.83,0.59,"Normal"
"311",311,7.73,0.59,"Normal"
"312",312,7.91,0.59,"Normal"
"313",313,7.95,0.58,"Normal"
"314",314,7.88,0.59,"Normal"
"315",315,7.91,0.59,"Normal"
"316",316,7.96,0.58,"Normal"
"317",317,7.79,0.59,"Normal"
"318",318,7.52,0.6,"Normal"
"319",319,7.98,0.58,"Normal"
"320",320,7.4,0.61,"Normal"
"321",321,7.94,0.58,"Normal"
"322",322,7.95,0.58,"Normal"
"323",323,7.95,0.58,"Normal"
"324",324,7.1,0.62,"Normal"
"325",325,7.72,0.59,"Normal"
"326",326,7.86,0.59,"Normal"
"327",327,7.97,0.58,"Normal"
"328",328,7.86,0.59,"Normal"
"329",329,7.78,0.59,"Normal"
"330",330,7.93,0.58,"Normal"
"331",331,7.92,0.59,"Normal"
"332",332,7.9,0.59,"Normal"
"333",333,7.83,0.59,"Normal"
"334",334,7.92,0.59,"Normal"
"335",335,7.89,0.59,"Normal"
"336",336,7.84,0.59,"Normal"
"337",337,7.87,0.59,"Normal"
"338",338,7.9,0.59,"Normal"
"339",339,7.7,0.59,"Normal"
"340",340,7.72,0.59,"Normal"
"341",341,8,0.58,"Normal"
"342",342,7.46,0.6,"Normal"
"343",343,7.78,0.59,"Normal"
"344",344,7.44,0.6,"Normal"
"345",345,7.74,0.59,"Normal"
"346",346,7.4,0.61,"Normal"
"347",347,7.16,0.62,"Normal"
"348",348,7.9,0.59,"Normal"
"349",349,7.52,0.6,"Normal"
"350",350,7.81,0.59,"Normal"
"351",351,7.73,0.59,"Normal"
"352",352,7.94,0.58,"Normal"
"353",353,7.86,0.59,"Normal"
"354",354,7.23,0.61,"Normal"
"355",355,7.75,0.59,"Normal"
"356",356,7.92,0.59,"Normal"
"357",357,7.89,0.59,"Normal"
"358",358,7.93,0.58,"Normal"
"359",359,7.74,0.59,"Normal"
"360",360,7.64,0.6,"Normal"
"361",361,7.99,0.58,"Normal"
"362",362,7.98,0.58,"Normal"
"363",363,7.95,0.58,"Normal"
"364",364,7.96,0.58,"Normal"
"365",365,7.77,0.59,"Normal"
"366",366,7,0.62,"Normal"
"367",367,7.39,0.61,"Normal"
"368",368,7.95,0.58,"Normal"
"369",369,7.65,0.6,"Normal"
"370",370,7.78,0.59,"Normal"
"371",371,7.86,0.59,"Normal"
"372",372,7.93,0.58,"Normal"
"373",373,7.77,0.59,"Normal"
"374",374,7.81,0.59,"Normal"
"375",375,7.91,0.59,"Normal"
"376",376,7.72,0.59,"Normal"
"377",377,7.99,0.58,"Normal"
"378",378,7.93,0.58,"Normal"
"379",379,7.82,0.59,"Normal"
"380",380,7.94,0.58,"Normal"
"381",381,7.9,0.59,"Normal"
"382",382,7.79,0.59,"Normal"
"383",383,7.98,0.58,"Normal"
"384",384,7.97,0.58,"Normal"
"385",385,7.93,0.58,"Normal"
"386",386,6.65,0.64,"Anomalia"
"387",387,7.68,0.59,"Normal"
"388",388,7.55,0.6,"Normal"
"389",389,7.97,0.58,"Normal"
"390",390,7.96,0.58,"Normal"
"391",391,7.14,0.62,"Normal"
"392",392,7.18,0.62,"Normal"
"393",393,7.92,0.59,"Normal"
"394",394,7.67,0.6,"Normal"
"395",395,7.86,0.59,"Normal"
"396",396,7.95,0.58,"Normal"
"397",397,7.96,0.58,"Normal"
"398",398,7.95,0.58,"Normal"
"399",399,7.83,0.59,"Normal"
"400",400,7.72,0.59,"Normal"
"401",401,7.73,0.59,"Normal"
"402",402,7.98,0.58,"Normal"
"403",403,7.98,0.58,"Normal"
"404",404,7.94,0.58,"Normal"
"405",405,7.8,0.59,"Normal"
"406",406,7.88,0.59,"Normal"
"407",407,7.94,0.58,"Normal"
"408",408,7.3,0.61,"Normal"
"409",409,7.77,0.59,"Normal"
"410",410,7.98,0.58,"Normal"
"411",411,7.8,0.59,"Normal"
"412",412,7.44,0.6,"Normal"
"413",413,7.89,0.59,"Normal"
"414",414,7.65,0.6,"Normal"
"415",415,7.81,0.59,"Normal"
"416",416,7.69,0.59,"Normal"
"417",417,7.83,0.59,"Normal"
"418",418,7.83,0.59,"Normal"
"419",419,7.99,0.58,"Normal"
"420",420,7.71,0.59,"Normal"
"421",421,7.91,0.59,"Normal"
"422",422,7.97,0.58,"Normal"
"423",423,7.84,0.59,"Normal"
"424",424,7.98,0.58,"Normal"
"425",425,7.61,0.6,"Normal"
"426",426,7.28,0.61,"Normal"
"427",427,7.92,0.59,"Normal"
"428",428,7.94,0.58,"Normal"
"429",429,7.71,0.59,"Normal"
"430",430,7.79,0.59,"Normal"
"431",431,7.84,0.59,"Normal"
"432",432,7.95,0.58,"Normal"
"433",433,7.94,0.58,"Normal"
"434",434,7.87,0.59,"Normal"
"435",435,7.85,0.59,"Normal"
"436",436,7.04,0.62,"Normal"
"437",437,7.67,0.6,"Normal"
"438",438,7.41,0.61,"Normal"
"439",439,7.98,0.58,"Normal"
"440",440,7.78,0.59,"Normal"
"441",441,7.98,0.58,"Normal"
"442",442,7.88,0.59,"Normal"
"443",443,7.97,0.58,"Normal"
"444",444,7.9,0.59,"Normal"
"445",445,7.91,0.59,"Normal"
"446",446,7.33,0.61,"Normal"
"447",447,7.63,0.6,"Normal"
"448",448,7.96,0.58,"Normal"
"449",449,7.98,0.58,"Normal"
"450",450,7.93,0.58,"Normal"
"451",451,7.91,0.59,"Normal"
"452",452,7.98,0.58,"Normal"
"453",453,7.98,0.58,"Normal"
"454",454,7.82,0.59,"Normal"
"455",455,7.92,0.59,"Normal"
"456",456,7.91,0.59,"Normal"
"457",457,7.73,0.59,"Normal"
"458",458,7.97,0.58,"Normal"
"459",459,7.7,0.59,"Normal"
"460",460,7.93,0.58,"Normal"
"461",461,7.85,0.59,"Normal"
"462",462,7.83,0.59,"Normal"
"463",463,7.78,0.59,"Normal"
"464",464,7.83,0.59,"Normal"
"465",465,7.93,0.58,"Normal"
"466",466,7.79,0.59,"Normal"
"467",467,7.73,0.59,"Normal"
"468",468,7.87,0.59,"Normal"
"469",469,7.94,0.58,"Normal"
"470",470,7.85,0.59,"Normal"
"471",471,7.93,0.58,"Normal"
"472",472,7.56,0.6,"Normal"
"473",473,7.66,0.6,"Normal"
"474",474,7.96,0.58,"Normal"
"475",475,7.91,0.59,"Normal"
"476",476,8,0.58,"Normal"
"477",477,7.97,0.58,"Normal"
"478",478,7.49,0.6,"Normal"
"479",479,7.79,0.59,"Normal"
"480",480,7.82,0.59,"Normal"
"481",481,7.73,0.59,"Normal"
"482",482,7.94,0.58,"Normal"
"483",483,7.02,0.62,"Normal"
"484",484,7.38,0.61,"Normal"
"485",485,7.95,0.58,"Normal"
"486",486,7.99,0.58,"Normal"
"487",487,7.76,0.59,"Normal"
"488",488,7.99,0.58,"Normal"
"489",489,7.9,0.59,"Normal"
"490",490,7.97,0.58,"Normal"
"491",491,7.96,0.58,"Normal"
"492",492,8,0.58,"Normal"
"493",493,7.84,0.59,"Normal"
"494",494,7.95,0.58,"Normal"
"495",495,7.63,0.6,"Normal"
"496",496,7.96,0.58,"Normal"
"497",497,7.87,0.59,"Normal"
"498",498,7.91,0.59,"Normal"
"499",499,7.79,0.59,"Normal"
"500",500,7.74,0.59,"Normal"
"501",501,7.76,0.59,"Normal"
"502",502,7.99,0.58,"Normal"
"503",503,7.89,0.59,"Normal"
"504",504,7.95,0.58,"Normal"
"505",505,7.85,0.59,"Normal"
"506",506,7.7,0.59,"Normal"
"507",507,7.83,0.59,"Normal"
"508",508,7.76,0.59,"Normal"
"509",509,7.96,0.58,"Normal"
"510",510,7.15,0.62,"Normal"
"511",511,7.97,0.58,"Normal"
"512",512,7.85,0.59,"Normal"
"513",513,7.94,0.58,"Normal"
"514",514,7.55,0.6,"Normal"
"515",515,7.77,0.59,"Normal"
"516",516,7.94,0.58,"Normal"
"517",517,7.86,0.59,"Normal"
"518",518,7.95,0.58,"Normal"
"519",519,7.85,0.59,"Normal"
"520",520,7.63,0.6,"Normal"
"521",521,7.73,0.59,"Normal"
"522",522,7.84,0.59,"Normal"
"523",523,6.7,0.64,"Anomalia"
"524",524,7.67,0.6,"Normal"
"525",525,7.98,0.58,"Normal"
"526",526,7.75,0.59,"Normal"
"527",527,7.84,0.59,"Normal"
"528",528,7.81,0.59,"Normal"
"529",529,7.74,0.59,"Normal"
"530",530,7.69,0.59,"Normal"
"531",531,7.95,0.58,"Normal"
"532",532,7.91,0.59,"Normal"
"533",533,8,0.58,"Normal"
"534",534,7.76,0.59,"Normal"
"535",535,7.98,0.58,"Normal"
"536",536,7.64,0.6,"Normal"
"537",537,7.93,0.58,"Normal"
"538",538,7.99,0.58,"Normal"
"539",539,7.94,0.58,"Normal"
"540",540,7.91,0.59,"Normal"
"541",541,7.95,0.58,"Normal"
"542",542,7.92,0.59,"Normal"
"543",543,7.2,0.61,"Normal"
"544",544,7.35,0.61,"Normal"
"545",545,7.97,0.58,"Normal"
"546",546,7.64,0.6,"Normal"
"547",547,7.82,0.59,"Normal"
"548",548,7.75,0.59,"Normal"
"549",549,7.95,0.58,"Normal"
"550",550,7.88,0.59,"Normal"
"551",551,7.97,0.58,"Normal"
"552",552,7.74,0.59,"Normal"
"553",553,7.26,0.61,"Normal"
"554",554,7.91,0.59,"Normal"
"555",555,7.97,0.58,"Normal"
"556",556,7.61,0.6,"Normal"
"557",557,7.76,0.59,"Normal"
"558",558,7.96,0.58,"Normal"
"559",559,7.92,0.59,"Normal"
"560",560,7.98,0.58,"Normal"
"561",561,7.6,0.6,"Normal"
"562",562,7.91,0.59,"Normal"
"563",563,7.19,0.61,"Normal"
"564",564,7.57,0.6,"Normal"
"565",565,7.99,0.58,"Normal"
"566",566,7.91,0.59,"Normal"
"567",567,7.54,0.6,"Normal"
"568",568,7.61,0.6,"Normal"
"569",569,7.23,0.61,"Normal"
"570",570,7.66,0.6,"Normal"
"571",571,7.81,0.59,"Normal"
"572",572,7.83,0.59,"Normal"
"573",573,7.98,0.58,"Normal"
"574",574,8,0.58,"Normal"
"575",575,7.92,0.59,"Normal"
"576",576,7.59,0.6,"Normal"
"577",577,7.78,0.59,"Normal"
"578",578,7.96,0.58,"Normal"
"579",579,7.71,0.59,"Normal"
"580",580,7.72,0.59,"Normal"
"581",581,7.96,0.58,"Normal"
"582",582,7.97,0.58,"Normal"
"583",583,7.93,0.58,"Normal"
"584",584,7.91,0.59,"Normal"
"585",585,7.4,0.61,"Normal"
"586",586,8,0.58,"Normal"
"587",587,8,0.58,"Normal"
"588",588,7.96,0.58,"Normal"
"589",589,7.26,0.61,"Normal"
"590",590,7.85,0.59,"Normal"
"591",591,7.86,0.59,"Normal"
"592",592,7.78,0.59,"Normal"
"593",593,7.91,0.59,"Normal"
"594",594,7.98,0.58,"Normal"
"595",595,7.91,0.59,"Normal"
"596",596,7.96,0.58,"Normal"
"597",597,7.98,0.58,"Normal"
"598",598,7.83,0.59,"Normal"
"599",599,7.96,0.58,"Normal"
"600",600,7.83,0.59,"Normal"
"601",601,8,0.58,"Normal"
"602",602,7.7,0.59,"Normal"
"603",603,7.66,0.6,"Normal"
"604",604,7.96,0.58,"Normal"
"605",605,7.77,0.59,"Normal"
"606",606,7.96,0.58,"Normal"
"607",607,7.98,0.58,"Normal"
"608",608,7.91,0.59,"Normal"
"609",609,7.98,0.58,"Normal"
"610",610,7.97,0.58,"Normal"
"611",611,7.96,0.58,"Normal"
"612",612,7.94,0.58,"Normal"
"613",613,7.99,0.58,"Normal"
"614",614,7.92,0.59,"Normal"
"615",615,7.72,0.59,"Normal"
"616",616,7.95,0.58,"Normal"
"617",617,7.35,0.61,"Normal"
"618",618,7.98,0.58,"Normal"
"619",619,7.93,0.58,"Normal"
"620",620,7.81,0.59,"Normal"
"621",621,7.19,0.61,"Normal"
"622",622,8,0.58,"Normal"
"623",623,7.91,0.59,"Normal"
"624",624,7.93,0.58,"Normal"
"625",625,7.94,0.58,"Normal"
"626",626,7.96,0.58,"Normal"
"627",627,7.73,0.59,"Normal"
"628",628,7.98,0.58,"Normal"
"629",629,7.81,0.59,"Normal"
"630",630,7.4,0.61,"Normal"
"631",631,7.95,0.58,"Normal"
"632",632,7.96,0.58,"Normal"
"633",633,7.81,0.59,"Normal"
"634",634,6.98,0.62,"Normal"
"635",635,7.93,0.58,"Normal"
"636",636,7.29,0.61,"Normal"
"637",637,7.77,0.59,"Normal"
"638",638,8,0.58,"Normal"
"639",639,7.79,0.59,"Normal"
"640",640,7.83,0.59,"Normal"
"641",641,7.45,0.6,"Normal"
"642",642,7.91,0.59,"Normal"
"643",643,7.66,0.6,"Normal"
"644",644,7.98,0.58,"Normal"
"645",645,7.86,0.59,"Normal"
"646",646,7.78,0.59,"Normal"
"647",647,7.98,0.58,"Normal"
"648",648,7.96,0.58,"Normal"
"649",649,7.97,0.58,"Normal"
"650",650,7.94,0.58,"Normal"
"651",651,7.9,0.59,"Normal"
"652",652,7.67,0.6,"Normal"
"653",653,7.79,0.59,"Normal"
"654",654,7.84,0.59,"Normal"
"655",655,7.95,0.58,"Normal"
"656",656,7.71,0.59,"Normal"
"657",657,7.84,0.59,"Normal"
"658",658,7.62,0.6,"Normal"
"659",659,7.81,0.59,"Normal"
"660",660,7.93,0.58,"Normal"
"661",661,7.78,0.59,"Normal"
"662",662,7.91,0.59,"Normal"
